id	Arabic_txt	Ar:man_sentiment	Ar:man_confidence
283	RT USERNAME: أموي #سوريا •  - يا أيها الناس: ألا تشعرون؟ أماتت في قلوبكم أخوّة الدين ورأفة الإنسانية؟ إن في البلد نساء عاريات... URL 	Negative	1
284	RT USERNAME: شارع في حمص #سوريا قبل 3 سنوات #غرد_بصورة 2011 والآن ..  ياربي فك كربتهم URL 	Positive	0.5081
285	: فيديو مسرب يُظهر اعتراف احد قادة الشبيحة بالأعداد الهائلة للقتلى في صفوفهم #سوريا   URL" 	Negative	0.6608
286	\"USERNAME: كراسي الرئاسة لبعض الأنظمة العربية . سوريا - مصر - الجزائر - لبنان . #انتخبوا_العرص URL" 	Negative	0.7993
287	RT USERNAME: أنباء عن انضمام فتيات نمساويات من أصول بوسنية إلى الجهاديين في سوريا .. !!  URL 	Neutral	0.4852
288	RT USERNAME: #شام #سوريا| ريف #دمشق:قصف الأطراف الغربية من مزارع خان الشيح بالمدفعية. 	Negative	0.6672
289	USERNAME ليس سوريا فقط والعراق يادكتورهل نسيت ان الدولة الإسلامية هي من طرد الأمريكان من العراق وهاهي الأن تطرد عملاء إيران أن شاء الله 	Negative	0.5079
290	RT USERNAME: USERNAME USERNAME صباح الامل والنصر سوريا ياعمري كله وصباحك ياسمنة الفرات الخالد 	Positive	0.8193
291	USERNAME نحنا ما منجيبها واطية للواطي نحنا أسود سوريا سوريا النا مندخل يلي بدنا و نشوط يلي بدنا يلي ما عجبو يحل عننا 	Negative	0.6896
292	\"USERNAME: أخطر المطلوبين في سوريا#حلب-استهدفهم الطياران بالبراميل المتفجرة!!!!!  URL" 	Negative	0.8968
293	RT USERNAME: اللهم انقطعت الأسباب إلا منك وخاب الرجاء إلافيك وسدت أمامنا الأبواب إلابابك اللهم  انصر اخوننا في #سوريا URL 	Positive	1
294	RT USERNAME: أنا مع جميع المجاهدين الذين ينصرون راية التوحيد  بقلم الشيخ/ أبو محمد المقدسي \"فك الله أسره\" URL #… 	Positive	0.8043
295	#حمص #إرهاب_الأسد #سوريا #Syria #AssadsWarCrimes حمص الصامدة حي الوعر 18 4 2014الشهيد الطفل عمر اللاظ... URL 	Negative	0.7941
296	USERNAME مافيه اكثر من قحاب سوريا 	Negative	0.8987
297	RT USERNAME: اللهم اجعل كل صرخه خرجت من حناجر اطفال سوريا صريراً في اذني بشار.. URL 	Negative	0.7166
298	#سوريا #حماة مصدر ميداني لتلفزيون الخبر: استمرار العملية العسكرية في مدينة #مورك شمال حماة وسط تقدم للجيش العربي... URL 	Negative	0.7056
299	RT USERNAME: لونجحت ثوره سوريا في تحقيق هدفهاسيتبع ذلك نقله نوعيه في مشهدالشرق الأوسط أبرز مافيه انحسار دورإيران وإنكفائهاداخل حدودهاا… 	Positive	0.6548
300	استشهاد 3 مواطنين من اللاجئين الفلسطينيين في مخيم حمص بسوريا إضافة إلى إصابة 7 آخرين بجروح نتيجة انفجار سيارة مفخخة #سوريا #فلسطين 	Negative	0.8946
301	#سوريا #حلب# أنباء عن اقتحام الثوار لفرع المخابرات الجوية في حلب ووصولهم لداخل الفرع وقتلى النظام الإرهابي... URL 	Negative	0.4701
302	RT USERNAME: \": \": كانت تنحني هاوية إلى الأرض لتشرب ماء المطر لم يعد المطر ماء ! أصبح دماً.. تقف حائرة ماذا حدث؟؟   #سوريا♡  URL 	Negative	1
303	RT USERNAME: 16- تلاحظون أن العمر في أزمة سوريا يحرص كل الحرص أن لايصرح بدعم أي جبهة وكذلك لايصرح بحرب أي جبهة ، بل يلقي إشارات فقط . 	Negative	0.6875
304	RT USERNAME: ما في شي  بس سمعت انو هيك كانت حلب بيوم من الايام  سوريا #حرة URL 	Negative	0.497
305	RT USERNAME: #حزب_الله يكفيه فخراً قدم الأرواح في حماية المسيح والسنة والشيعة ، معاركه في #سوريا تشهد !  ماذا فعلت داعش للشيعة والمسي… 	Negative	0.5079
306	RT USERNAME: اللهم أميين يارب العالمين USERNAME  #Syria #سوريا URL 	Positive	0.7311
307	RT USERNAME: عاجل: ايمن الظواهري في مقابلة يعزو القتال بين الفصائل المتشددة في #سوريا الى \"غلبة الهوى والجهل والظلم على البعض\" 	Negative	0.9181
308	#إرهاب_الأسد #سوريا #Syria #AssadsWarCrimes #حلب انتشال شهيدين من تحت الأنقاض في حي طريق الباب إثر قصف الطيران... URL 	Negative	0.8884
309	RT USERNAME: #معارضة # سورية #غسان #عبود يرد على #ميشيل #كيلوت في “اكاذيب مشينة “ URL 	Negative	0.7047
310	RT USERNAME: #الأهلي يدخل السباق على ضم عمر السومة  #السعودية #KSA #سوريا URL 	Neutral	0.8202
311	#شام #سوريا | ريف #دمشق |قصف من الطيران المروحي بالبراميل المتفجرة يستهدف الجبل... ... URL 	Negative	0.8494
312	RT USERNAME: بيان السفيرة سامانثا باور حول الوضع في #حمص و حي #الوعر في #سوريا. URL 	Neutral	0.9065
313	USERNAME USERNAME  طيب حتى بشار كانت سوريا بخير وعاشت نهضه ايضا لاتحاول ان تقنع نفسك بهالطريقه 	Negative	0.4955
314	RT USERNAME: هناك داعش في العراق مجاهدة و وهناك داعش في سوريا صنعها النظام لتشويه الثورة ،،الغريب أن لهما ذات القيادة!! مزيدا من الخمر كي أفهمك 	Negative	1
315	RT USERNAME: عبد الجيار العكيدي الفرق بين معركة الساحل السابقة والمعركة الجارية حاليا هو التخطيط المسبق لها من قبل مقاتلي المعارضة #سوريا … 	Neutral	0.5029
316	ألا يانسيم الريح من أرض شامٍ ..تحمل إلى أهل سوريا سلامي وأني لأهوى أن أكون بأرضهم ..على أنني منها أستفدت غرامي 	Positive	0.7914
317	RT USERNAME: #ظلموكي_البشر  نزلــوا فيكيــ تتــدميــر  لما شافوا جمالكـ غــاروا مـــنكـ كـتيـــر  عليكـي زادو ظلمون  #سوريا 	Negative	1
318	RT USERNAME: #شام #سوريا | قصف مدفعي يستهدف بلدة خراب الشحم بريف درعا الغربي 	Negative	0.807
319	#سوريا: #فيصل_القاسم: الرسالة الاستعمارية للعرب .. لا تحلموا بالربيع!... URL 	Negative	1
320	RT USERNAME: أموي #سوريا •  قال رسول الله #ﷺ «إن في #الجمعة لساعة لا يوافقها مسلم قائم يصلي يسأل الله خيراً إلا أعطاه الله إياه» (متفق عل… 	Positive	0.6296
321	USERNAME صوتي بقول هنا سوريا :) بس مو نصيحة ينسمع ابدا 	Negative	0.4005
322	RT USERNAME: يهددون المجاهدون الثوار بأطفالهم #حزب_الله و#ابو_الفضل_العباس و#ذو_الفقار النازيون الارهابيون #سوريا URL 	Negative	0.8872
323	RT USERNAME: الوريث القاصر يقول انه لم يرتكب أي مجازر في سوري ماذا عن مجزرة الأطفال في #درعا اليوم من مرتكبها  #سوريا URL 	Negative	1
324	RT USERNAME: على أطلالك يا سوريا فماذا تبقى منكي؟ URL 	Negative	1
325	#أوغاريت ||#سوريا :: #حمص : أاسماء شهداء مجزرة جامع بلال الحبشي الذين استطعنا التعرف عليهم  1- هادي مجهول الهوية... URL 	Negative	0.7058
326	!!!السلطات المصرية تحتجز 144 سوريا بينهم نساء وأطفال 	Negative	1
327	RT USERNAME: #سجينات_قصر_الملك_عبدالله سوريا ايران الشيعة ... وراء قضيه ٤بنات حرموا ١٣س من الحياه الا يوجد من ينصفهن بقول الحقيقة /… 	Negative	0.8977
328	#سورية #حلب سقوط برميلين متفجرين في حي الفردوس احدهم على دوار جسر الحج وثاني جانب البريد وانباء عن شهداء وجرحى. #SRN 	Negative	0.7928
329	RT USERNAME: الجماعة يلي لهلق بيحطو أسواره الثورة على أيدهم او شي علم عالسيارة و خلافه من هي الظواهر ،،،،صرت بجد بجد مو بس أزعل عليهم بل اقرف منهم #سوريا 	Negative	0.8325
330	# سورية حمص_تنزف قدمت#حمص من أبنائها(17,812) شهيدا: (2,047) طفل و(1,861) امرأة فهل تريدون مزيداحتى تلبواالنداء؟ URL 	Negative	0.9202
331	#أوغاريت || #سوريا :: آخر الآحداث , #مورك #حماة :: معارك عنيفة شهدتها جبهة مورك... ... URL 	Negative	0.8273
332	USERNAME USERNAME غيركم في اي لحظه يمكن يقتل في سوريا و غيركم على سرير المستشفى احمدوا الله هذا موهب زهق.       الحمد لله 	Negative	0.6819
333	#شام #سوريا | #درعا : قصف مدفعي لقوات النظام يتجدد على أحياء درعا البلد و أنباء... ... URL 	Negative	1
334	RT USERNAME: لحظة استهداف مجاهدي #جبهة_النصرة لسيارة مثبت عليها رشاش 23 تابعة لدولة الخوارج بقاذف آر بي جي في #مركدة #سوريا URL 	Negative	0.5943
335	#سوريا #ريف_درعا #SMC  قوات الاسد تقصف بالمدفعية الثقيلة كلأ من بلدتي إبطع و المسيفرة 	Negative	1
336	RT USERNAME: أموي #سوريا •  #حلب //#فرع_الجوبة //#عاجل // :   -   تم اقتحام فرع مخابرات الجوية في #حلب و قتلى ميليشيات... URL 	Negative	0.7952
337	RT USERNAME: يا الله لم يبقى لها إلا أنت فارزقها و ارحمها وكل أطفال #سوريا وعجل بخلاصهم من الطاغية وأعوانه عاجلاً لا آجلاً URL 	Negative	0.5027
338	احداث ١١/ديسمبر.  ضرب المسلمين باسم الارهاب.  وضرب افغنستان والعراق وحصار سورية  موت صدام موت السنة  موت جابر الاحمد  مولد الخلفاء  خروج؟ 	Negative	1
339	#عزيزة: الثوار يسيطرون على حاجزي \"#الدشم و #الحمام\" بعد اشتباكات مع قوات النظام #سورية #سوريا #حلب_ال... URL #حلب 	Negative	0.592
340	#سوريا #كورنيش_طرطوس URL 	Neutral	1
341	USERNAME فشرتي تكوني سوريا ياعهره تفوووو عليكي قواده 	Negative	1
342	RT USERNAME: أموي #سوريا •  #وعر_24   تمشيط بالشيلـْـْكا على الأبراج في الجزيرة السابعة وعلى شارع الرئيس والانفجارات تملأ سماء الحي 	Negative	0.9083
343	اذا كلمك احدهم عن وجود منظمات لحقوق الانسان ..!  فاخرسه بهذه الصورة من #سوريا ..!   URL 	Negative	1
344	RT USERNAME: USERNAME #سوريا مقال طالب سوري أحزنني صراحة URL 	Negative	0.938
345	RT USERNAME: اخبار سوريا: اليوم ..الجيش الحر يقتل 30 عنصرا من قوات النظام السوري في حلب: حلب اليوم… URL #اخبار 	Negative	0.6033
346	RT USERNAME: أوغاريت ادلب سرمين مكان سقوط صاروخ الأرض ارض وماخلفه من اضرار URL #syria #سوريا 	Negative	0.914
347	RT USERNAME: أموي #سوريا •  لحظة إصابة احد المجاهدين من تجمع العزة في مدينة مورك وكلمة لقائد كتيبة صوت الحق   تجمع العزه بطولة... http://… 	Negative	0.8413
348	RT USERNAME: في سوريا بيتمنوا يرجعوا للمرحلة اللي إحنا فيها دي مرحلة الإختيار بين الدولة واللادولة عشان يختاروا دولة و إن كانت ظالمة بد… 	Negative	0.808
349	URL #Syria #أنقذوا_حمص   صورة توضح ابشع أنوع التمييز و الطائفية المريرة التي يمارسها النظام المجرم مع المناطق المعارض 	Negative	1
350	: طالبك ياربي - ( ورافع يديني )  يا المالك القادر يا علام الأسرار   إنك تشيل الحزن عن ( والديني ) وإنك تفّرح سوريا بـ موت بشار...... 	Positive	0.5967
351	أحبط جنود أتراك محاولة تسلل مجموعة مهربين حاولت إدخال مواد مهربة في شاحنات من #سوريا إلى #تركيا في منطقة كيليس الحدودية بين سوريا وتركيا. 	Neutral	0.5299
352	RT USERNAME: #سورية مدينة #حماة حي العليليات أطفال يتوجهون إلى عملهم لسد إحتياجهم في ظل صعوبة ظروف العيش #Speakup4syrianchildren URL 	Negative	0.8103
353	RT USERNAME: أختبار معمعم لشيعي عامي أراد معرفة أسم الله الأعظم !!!  كالعادة 😁👈 الشيعة مسخرة الزمان 😂   URL 	Negative	0.8008
354	RT USERNAME: اذكروا #سوريا بدعوة #ساعة_استجابة 	Positive	0.817
355	RT USERNAME: 16- #اقتباس من كلمة (ما كان هذا منهجنا ولن يكون) #الدولة_الإسلامية_في_العراق_والشام  #النصرة_المقدسية #القاعدة #سوريا http:/… 	Negative	0.4073
356	RT USERNAME: USERNAME قبحكم الله يامن خلع الحياء من وجهه..جاي تعزي انجاس قتلوا اخواننا في سوريا وﻻ اقول اخوانك  لانك برءت منهم بت… 	Negative	0.9064
357	RT USERNAME: أنا لست ﻻجئة ﻻ أبداً لي وطناً وسأعود له بإذن الله لي وطناً غالي واسمه سورية 	Positive	0.9023
358	RT USERNAME: ماشاء الله يابنت سوريا صوت وجمأاال ربي يحفظك #كنز_3 	Positive	1
359	RT USERNAME: ينام أطفالنا في دفىء أمام الشاشة وهم يشاهدون افلام الكرتون .. وينام طفل سوري في ( الكرتون )  #سوريا   # URL 	Negative	0.9052
360	USERNAME فعلا الاخبار في سوريا لاتسر للاسف 	Negative	1
361	RT USERNAME: عاجل أصابة خطرة لأحد أبناء سترة #الكويت #تونس #عمان #اليمن #الوفاق #14feb #عمان #سوريا #لبنان URL 	Negative	0.8126
362	RT USERNAME: تخيلوا!! سمر بدوي أشجع من نساء سوريا. حسب منظمة أمريكية بتكرمها لعام٢٠١٢ #Syria #KSA #ليبرالية #علمانية #سوريا #سمر_بدوي #الس… 	Positive	0.4113
363	\"أحياء ولكن لا تشعرون\"   #شهداء #سورية #سوريا  #غرد_بصورة URL 	Negative	0.696
364	أحد مقاتلي أنصار العقيدة وتفاخره بوصول الدفعة الثانية من جرات الغاز لـ \"مدفع جهنم\" في #حلب. #سوريا URL 	Negative	0.7139
365	#ساعة_استجابة يارب تنصر سوريا 	Positive	0.8551
366	#Syria من غزة الصامدة الى حمص المحاصرة انا منكم وانتم مني دم واحد والعدو واحد ، نحارب من يقصفنا... URL via FaceBook 	Positive	0.5042
367	RT USERNAME: تتابعون الشيخ عدنان العرعور الآن على الهواء في برنامج مع سوريا حتى النصر على شدا الحرية ويمكن المتابعة عبر URL 	Positive	0.4981
368	أموي #سوريا •  «إن الله يرفع بهذا الكتاب أقـْـْوامًا ويضع به آخرين»   مقالة قرآننا حياة قلوبنا (الجزء الأول)... URL 	Positive	0.5141
369	RT USERNAME: #أهل_الشام || جانب من الغنائم التي حصل عليها أبطال لواء التوحيد أثناء معركة تحرير الجوية  #سوريا  URL 	Positive	0.4019
370	USERNAME  يارب تلطف بهم  يارب ترحمهم وانت خير الراحمين   شي مبكي كيف صار حال سوريا  كله من تخاذل العرب والمسلمين حسبي الله عليهم 	Negative	0.8062
371	RT USERNAME: أموي #سوريا •     #حماة #كفرزيتا   كتيبة الهندسة محمد صوت الحق تقوم بتفكيك آلية الـْـْتفجر لبرميل يحوي غاز الكلور... URL 	Negative	0.7051
372	#سوريا #الرقة #هام  ما زال التهميش لمحافظة الرقة   قررت #الحكومة_السورية_المؤقتة في اجتماعها الدوري الأسبوعي الذي... URL 	Negative	0.7037
373	RT USERNAME: اللهم انصر اخواننا المسلمين في سوريا  #رتويت #سوريا_اقترب_النصر #سوريا_نحن_معكم 	Positive	0.8017
374	اجمل قصيدة سمعتها في حياتي .. اسمعوها يا( شعوب العرب ) وتجاهلوها يا حكامنا كي لا تندموا.  #مصر #تونس #السعودية #سوريا URL 	Negative	0.4137
375	RT USERNAME: مسؤولون أميركيون: الأسد يصفي قادة عسكريين ... منعاً لتقويض سلطته #سوريا URL 	Neutral	0.6186
376	#سوريا | عدّة كتائب تشكّل لواء سيّد الشهداء في محافظة حماة: أعلن المجلس العسكريّ الثوريّ في محافظة حماة، اليوم... URL 	Negative	0.4559
377	أموي #سوريا •     Latakia L.N.N the news   اللاذقية : قام المجاهدون باستهداف قرية البهلولية بصواريخ الغراد   الله أكبر و لله الحمـْـْد 	Negative	0.6095
378	RT USERNAME: صورة ثلاثيه الأوجاع أب يرضع طفلتہ بعد موت أمها طفل يعود بالخبز ولا يعلم ان كان سيصل وطفلة تواسي أختها نعم انہا #سوريا … 	Negative	1
379	#Syria ريف دمشق: سقبا: استشهاد وائل الأكتع باشتباكات مع قوات النظام في المليحة Damascus Suburbs:... URL via FaceBook 	Negative	0.9147
380	RT USERNAME: الرحمة قطعة من قلوب البشر #اللهم فرج الهموم على إخواننا واخواتنا وأطفالنا في #سوريا يامفرج الكروب #يارب  #فتى__الشمال URL 	Positive	0.6394
381	RT USERNAME: الانتربول جالسين يدورون مراهقتين نمساويات اختفوا قبل اسبوعين وطلعت لهم صور وهم منضمين للثوار في سوريا URL 	Negative	0.8098
382	RT USERNAME: قادمون #سوريا •  عااجل  ريف ادلب التمانعه  عصابات اﻻسد تقصف بلدة التمانعه بالسﻻح الـْـْكيماوي   وﻻ معلومات عن عد... http:/… 	Negative	1
383	RT USERNAME: #شام #سوريا | ريف #درعا : قصف مدفعي من قبل قوات النظام يتجدد على بلدة اليادودة. 	Negative	0.6958
384	RT USERNAME: #سوريا  صبرا يا امي صبرا URL 	Positive	0.6276
385	RT USERNAME: أموي #سوريا •  بسم الله   خبر من قلب الحدث   ريف دمشق الغوطه الشرقيه   اسقاط طائرة ميغ قبل قليل فوق المليحه بريف... URL 	Negative	0.5274
386	RT USERNAME: فليس وراءكم غير التجني . وليس أمامنا غير الجهادِ .  #فلسطين #سوريا #أدب #شعر #حافظ_إبراهيم 	Negative	0.596
387	RT USERNAME: اللهم انصر من يدافعون ل أجل الاسلام في سوريا والعراق وكل بلاد المسلمين وانصرهم على من عاداهم وسدد خطاهم والسنتهم  واخذل … 	Positive	0.8233
388	RT USERNAME: يودع ابنته الخارجة من حصار حمص  موقف مؤثر  من يدري متى اللقاء  إن عزّ في الدنيا  فالموعد الجنة صبرا اهل #سوريا URL 	Negative	0.7554
389	RT USERNAME: \"كلمة الأستاذ نادر عبدالامام رئيس جمعية إنصاف في الوقفة التضامنية مع #سوريا URL #Bahrain #Syria #14feb 	Neutral	0.6086
390	RT USERNAME: URL مظاهرة #دوما اليوم في جمعة انقذوا #حمص قبل أن تستباح ||الغوطة الشرقية || 18 -4-2014  #حالش  #الجيش_الحر  #سوريا 	Negative	0.7945
391	RT USERNAME: ان تغيير السياسة الاوربية حيال #ايران ضروري لمنع كوارث كبرى تعد سوريا والعراق اولى خطواتها #Iran #Iraq #Syria 	Negative	0.4129
392	RT USERNAME: USERNAME مارح امريكا تجيب  واحد مسلم سنه يحكم  واسرائيل مين حيحميها  ولو ضربت امركيا هداك الوقت  كانت انتهت الثورة مع سوريا كامله 	Negative	0.8043
393	#شام #سوريا | ريف #إدلب : قصف مدفعي من قبل قوات النظام المتمركزة في معسكر القرمي... ... URL 	Negative	0.9123
394	اعترفات خطيره من ميليشيات عراقيه في سوريا URL 	Negative	0.596
395	USERNAME انت بي سوريا 	Neutral	0.5379
396	RT USERNAME: اليوم يوم التضامن مع اطفال سوريا وقد أجاز سماحة المفتي  اخراج الزكاة لهم فبادروا للتخفيف من معاناتهم URL 	Positive	0.5929
397	#الشعب_يرد_تحية_الرئيس  الذي قال لبيك يا سورية 	Positive	0.8093
398	#اخر_ساعه_من_يوم_الجمعه لكم اخوه في سوريا .. لهم عليكم حقوق اقلها ال دعاء . #سوريا #دعاء  #تويكس URL 	Positive	0.9142
399	RT USERNAME: أموي #سوريا •  د.عمر عبد الكافي -   طول الأمل يجعل الإنسان يركن إلى الدنيا، وتصير الدنيا غاية وليست وسيلة، فقد... URL 	Neutral	0.5023
400	RT USERNAME: #حلب عاجل : الطيران المروحي يلقي برميلين متفجّرين قرب دوار جسر الحج، فيما لم ترد معلومات عن وقوع ضحايا حتى الآن #سوريا #syria #Syria 	Negative	0.8974
401	RT USERNAME: #سوريا | قصف بقذائف الهوان على حي الغوطة بمدينة #حمص 	Negative	1
402	RT USERNAME: إزا مو عاجبتك القااعدة تقاتل بسورياا ياليت تتكرم انت وامثالك الهربانيين والمتوالين عن الزحف وتنزلوا ع سوريا وتفرجونا مراج… 	Negative	0.8112
403	RT USERNAME: ارفعوا الأكف نحو السماء، فأهلنا في سوريا بحاجة إلى الدعاء؛ اللهم أنصرهم وثبت أقدامهم، اللهم عجل بهلاك بشار وأعوانه ياحي ياقيوم ! 	Positive	0.6728
404	RT USERNAME: #صورة_سورية صورة سورية بجدارة:')❤️ URL 	Neutral	0.5041
405	RT USERNAME: إشكالية الحرب في سورية تكمن في المعارضة حيث الفصائل التي تقاتل على الأرض تتبنى الإسلام والمعارضة في الخارج تتبنى العلمان… 	Negative	0.5958
406	#سوريا #فلسطين #الأقصى #نصرة_حمص{ وكان حقاً علينا نصر المؤمنين}أي هو حق أوجبه على نفسه الكريمة تكرماً وتفضلاً #ابن_كثير.. الثبات فالنصر اَت 	Positive	0.8965
407	#ساعة_استجابة اللهم انصر سوريا وبلاد المسلمين المستضعفين في كل مكان ، اللهم عليك ببشار ؤاعوانه ، يارب انصرهم نصرا عظيما ياعزيز! 	Positive	0.903
408	RT USERNAME: عائلة سورية مقيمة في اربد فيها ٧ أطفال وثلاث نساء ورجل مسن تم طرد الفتاة العاملة ب150 دينار من عملها بحجة \"ممنوع تشغيل الس… 	Negative	1
409	(الخبر) الخبر/ عقيدان من الجيش_الحر في حمص يسلمان نفسيهما لقوات النظام بعد اعتقال اسرتيهما وتهديدها باغتصاب النساء وقتل الأطفال سوريا 	Negative	0.8075
410	RT USERNAME: وحدهم الشهداء من يستحقّون الحياة.....  #سوريا 	Positive	0.6091
411	إرحل يا بشاروعصاباتك الفارسيه من سوريا الى جهنم واترك سوريا لأهلها العرب الشرفاء كفى قتل وتدميرالمدن بتراثها العربي وكذالك اعلامك اللانساني 	Negative	0.9324
412	RT USERNAME: يامسلمين فكوا الحصار عن سوريا 	Negative	0.5453
413	RT USERNAME: \"USERNAME:  #فلسطين  #فلسطين_حره #سوريا #العراق URL اكيد 	Positive	0.5836
414	RT USERNAME: هذا #الصباح سا اجعل منه اجمل #صباحاتي سارسم #البسمة على خيوط #الشمس ساعلن التمرد على الالم ♡ #سوريا #على_حافة_الصباح ht… 	Positive	0.8869
415	RT USERNAME: هذا المخيم الخاص بأبناء قبيلة الظفير في سوريا وننتظر دعم أهلنا واخواننا ﻻن المخيم بحاجة لكثير من اﻻعمال URL 	Negative	0.402
416	RT USERNAME: #ورد_الآن شهيدين وعدد من الجرحى جراء استهداف #شارع_النيل  بقذائف الحقد منذ قليل   #حلب #سورية 	Negative	1
417	#فيديو : اسقاط طائرة حربية #سورية بنيران تركية بمنطقة حدودية في اللاذقية   URL 	Neutral	0.5716
418	USERNAME USERNAME   أدركنا ان الاسد اكبر متأمر على سوريا وشعبها  مع اجهزة الاستخبارات العالمية واعترف ان الشعب كان ضحية .. 	Negative	1
419	RT USERNAME: أموي #سوريا •  سكاي نيوز صهيب العلي ناطق باسم جبهة حمص قتل اكثر من عشرين عنصر لميليشيات النصيرية وتدميـْـْر ثلاث... URL 	Negative	0.7309
420	RT USERNAME: جيش \"الأسد\" يتحدى العالم.. ويعيد استخدام \"الكيماوي\"  URL  #سوريا 	Negative	0.9152
421	#سوريا   مقتل 12 عنصرا من قوات الاسد أثر كمين محكم من قبل الثوار على طريق خناصر- إثريا في ريف حلب 	Negative	0.7116
422	RT USERNAME: جائـــع يعيش بلا مأوى ..  لكن عندما انتبه للكاميرا رفع أصابع النصـر ...  لكي يعلم العالم أنّ أطفال سوريا رجــــــال http:… 	Positive	0.662
423	RT USERNAME: اللهم انصر اخواننا المظلموين في سوريا :( 	Positive	0.703
424	RT USERNAME: فرحته بالقضاء على ألم الجوع أنسته ألم البرودة في قدميه!! لكم الله يا اطفال #سوريا . #الصورة_تتكلم URL 	Negative	0.9037
425	RT USERNAME: مركز \"كارنيجي\" الأمريكي للسلام : انتكاسات سياسة قطر الخارجية تجاه سوريا ومصر جعلت الدوحة تدرك عدم قدرتها على تبني أجندة د… 	Negative	0.8966
426	#سوريا | جنبلاط: سوريا تتجه نحو التفكك - الوفد URL #أخبار #syria #news 	Negative	0.9021
427	RT USERNAME: #سورية الايادي السفاحة تهدم المساجد كفرا وقهر ونحن سنظل نعلي التكبيرات رغما عنهم الله اكبر الله اكبر الله اكبر URL 	Negative	1
428	RT USERNAME: أموي #سوريا •  د.محمد إسماعيل المقدم -   فضول الكلام من أعظم ما يضيع الوقت، فإذا كانت الحاجة تنتهي بشيء يسير من... URL 	Neutral	0.8019
429	#إرهاب_الأسد #سوريا #Syria #AssadsWarCrimes #حلب - حي جمعية الزهراء الغنائم التي تم اغتنامها بعد دخول الثوار إلى... URL 	Negative	0.7938
430	RT USERNAME: #سوريا ربي طال بهم العناء وكثر فيهم الشهداء و أستلذوا بعذابهم الطغاة نسألك ربي لهم الفرج والنصر و رد كيد أعدائهم في نحورهم  … 	Negative	0.6104
431	#سورية   شهداء قصف جرحى انفجارات اشتباكات جوع اعتقال حصار صمود  هذه هي أخبار #حمص فقط 	Negative	1
432	RT USERNAME: اللهم انصرالمسلمين في سوريا بنصرك وأيدهم بتأيديك وأمدهم بجند من جندك واربط على قلوبهم وثبت أقدامهم ويسرأمورهم ووفقهم واحفظ… 	Positive	0.9034
433	#شام #سوريا | ريف #حماة : قصف مدفعي من قبل قوات النظام المتمركزة في حاجز النحل ق... ... URL 	Negative	1
434	_: اللهم انقطعت الأسباب إلا منك وخاب الرجاء إلافيك وسدت أمامنا الأبواب ولم يبق إلابابك اللهم اللهم انصر اخوننا في #سوريا 	Positive	0.8204
435	RT USERNAME: يا رب بساعة استجابه افرج هم اهل سوريا :( 	Positive	0.7217
436	2-الظواهري :كان توجيه القيادة العامة للجهاد عدم اعلان وجود تنظيم القاعدة في #الشام حتى فوجئنا باعلان الاخوة في #العراق ذلك. #سوريا #Syria 	Negative	0.5393
437	USERNAME  حبايبنا من بعد غيآب رجعو ع #سوريا الأحباب ♥ 	Positive	0.7535
438	RT USERNAME: #شام #سوريا| ريف #درعا: قصف بلدة اليادودة بالمدفعية من قبل قوات الأسد. 	Negative	0.9042
439	RT USERNAME: داعم ثوار سورية  في طرابلس الشيخ نبيل رحيم…  يحرضون صغار العقول للجهاد وهم يتمتعون.. URL 	Negative	0.9072
440	RT USERNAME: #شام #سوريا | اشتباكات عنيفة في محيط جبل شويحنة وفي منطقة الجزيرة غربي حلب وسط قصف عنيف بالمدفعية الثقيلة يستهدف المنطقة من مدفعية الزهراء 	Negative	1
441	USERNAME سوف يعلم السوريين من كان معهم بصدق بعدانتصارالثورة هناك اسماء ستنسى للمصالح   #سوريا 	Positive	0.721
442	USERNAME ولكني أرجح وقوعها من جانبين ,, من سوريا ومن الشرق ,,,, وأعتقد أن كل الأمور ترتيب ماسوني عقدي متعمد 	Negative	0.8122
443	(السبئي) تشوركين: الدول الغربية رفضت تبني بيان صحفي يدعو إلى دعم المصالحة واستئناف مؤتمر جنيف حول سورية 	Negative	0.6542
444	USERNAME القاعدة ارسلت النصرة وهي التي حسمت الامر في سوريا وستظل حتى التحرير كما في افغانستان والشعوب الاسلامية مع القاعدة 	Neutral	0.4902
445	RT USERNAME: و إن ظهرت عليكي ملامح الشيخوخه ستعودي كما كنتي شابة يتراكض خلفك مراهقي السياسة #دمشق #سوريا 	Negative	0.3998
446	RT USERNAME: #غرد_بصورة  #سوريا URL 	Neutral	0.8973
447	RT USERNAME: أموي #سوريا •  الطيران المروحي يلقي أكثر من برميـْـْل على ناحية التمانعة بريف #إدلب الجنوبي تحتوي على مادة الكلور... http://… 	Negative	0.6893
448	أكثر من 20 قتيلا ونحو 60 جريحا حصيلة انفجار سيارة مفخخة أمام مسجد في مدينة حمص في سوريا (سكاي ن - lebanon24... URL 	Negative	0.8986
449	RT USERNAME: أموي #سوريا •   شن الثوار، مساء اليوم الجمعة، هجومًا على أحد مقرات قوات الاحتلال النصيري، في بلدة الأشرفية،... URL 	Negative	0.6185
450	RT USERNAME: مقتل أحدأكبرقادة الشبيحة بـ #حمص الشبيح رامز حمدو الكردي في حي الورشة بأيدي أبطال #حمص_المحاصرة ..  #سوريا 	Negative	0.6665
